Altium Designer Pick and Place Locations
G:\My Drive\Personal Projects\PCB Robot\PCB Quadruped Robot Q8\Altium\Q8_V2.2\Project Outputs for Q8_V2.2\Pick Place for Q8_V2.2_Brd.csv

========================================================================================================================
File Design Information:

Date:       27/10/24
Time:       14:37
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"J5","215297-3","TopLayer","3846,457","685,039","180",""
"S2","Test_Point","BottomLayer","1930,000","1748,000","180","Test Point Generic"
"S1","Test_Point","TopLayer","4070,000","1748,000","0","Test Point Generic"
"B-","Test_Point","BottomLayer","3500,000","1900,000","180","Test Point Generic"
"B+","Test_Point","BottomLayer","3400,000","1900,000","180","Test Point Generic"
"U5","TPS610333DRLR","BottomLayer","1992,000","1503,158","180","IC REG BOOST ADJ 5A SOT583"
"U3","TPS610333DRLR","TopLayer","4008,000","1503,158","0","IC REG BOOST ADJ 5A SOT583"
"Q2","MCH6351-TL-W","BottomLayer","2075,000","1815,000","270","P-Channel Power MOSFET -12 V, -9 A, 16.9 mOhm, Single, 6-Pin MCPH, Pb-Free, Tape and Reel"
"L2","0.47 uH","BottomLayer","2048,000","1650,000","180","Shielded Power Inductors
XGL4020-471MEC"
"C9","47uF","BottomLayer","1740,000","1600,000","90","865080342006 WCAP-ASLI Aluminum Electrolytic Capacitors"
"C8","10uF","BottomLayer","1895,000","1515,000","270","CAP CER 10uF ±10% 25V X7R 0805 (2012 Metric)"
"C7","10uF","BottomLayer","2121,000","1518,000","0","CAP CER 10uF ±10% 25V X7R 0805 (2012 Metric)"
"C6","1nF","TopLayer","3515,000","1685,000","0","CAP CER 10nF ±10% 25V X7R 0603 (1608 Metric)"
"R7","10K","TopLayer","3485,000","1285,000","270","RES 10K Ohm ±1% 1/10W 0603 (1608 Metric)"
"D1","LTST-C190KRKT","TopLayer","3515,000","1925,000","180","LED CLEAR CHIP SMD RED"
"G","Test_Point","TopLayer","2520,000","1750,000","90","Test Point Generic"
"S1","EG1215AA","TopLayer","4170,000","1876,220","180","SWITCH SLIDE SPDT 25mA 24V"
"U4","MAX17043G+T","TopLayer","3510,000","1570,000","270","IC 2-WIRE FG MODEL GAUGE LO BATT"
"R6","10K","TopLayer","3550,000","1285,000","270","RES 10K Ohm ±1% 1/10W 0603 (1608 Metric)"
"R9","1K","TopLayer","3840,000","1815,000","90","RES 1K Ohm ±1% 1/10W 0603 (1608 Metric)"
"R5","1K","TopLayer","3515,000","1745,000","180","RES 1K Ohm ±1% 1/10W 0603 (1608 Metric)"
