File Design Information:,,,,
,,,,
Date:       07/01/25,,,,
Time:       16:58,,,,
Revision:   Not in VersionControl,,,,
Variant:    No variations,,,,
Units used: mil,,,,
,,,,
Designator,Layer,Center-X(mil),Center-Y(mil),Rotation
J5,TopLayer,"3,846,457","685,039",180
U3,TopLayer,"4,008,000","1,503,158",0
C6,TopLayer,"3,515,000","1,685,000",0
R7,TopLayer,"3,485,000","1,285,000",270
D1,TopLayer,"3,515,000","1,925,000",180
S1,TopLayer,"4,170,000","1,876,220",180
U4,TopLayer,"3,510,000","1,570,000",270
R6,TopLayer,"3,550,000","1,285,000",270
R9,TopLayer,"3,840,000","1,815,000",90
R5,TopLayer,"3,515,000","1,745,000",180
R1,TopLayer,"3,515,000","1,870,000",0
Q1,TopLayer,"3,925,000","1,815,000",270
C5,TopLayer,"3,515,000","1,805,000",0
R8,TopLayer,"3,930,000","1,910,000",180
R4,TopLayer,"2,405,000","1,580,000",270
R3,TopLayer,"2,480,000","1,580,000",90
R2,TopLayer,"2,545,000","1,410,000",270
U2,TopLayer,"2,465,000","1,470,000",270
U1,TopLayer,"3,000,000","1,550,000",0
L1,TopLayer,"3,952,000","1,650,000",0
D2,TopLayer,"2,490,000","1,850,000",180
C4,TopLayer,"4,260,000","1,600,000",90
C3,TopLayer,"4,105,000","1,515,000",270
C2,TopLayer,"3,879,000","1,518,000",180
C1,TopLayer,"2,545,000","1,545,000",270
BT1,TopLayer,"2,596,000","1,678,000",0
J7,TopLayer,"4,653,543","1,354,331",90
J3,TopLayer,"2,153,543","1,314,961",0
J1,TopLayer,"716,535","1,354,331",90
U5,BottomLayer,"1,992,000","1,503,158",180
Q2,BottomLayer,"2,075,000","1,815,000",270
L2,BottomLayer,"2,048,000","1,650,000",180
C9,BottomLayer,"1,740,000","1,600,000",90
C8,BottomLayer,"1,895,000","1,515,000",270
C7,BottomLayer,"2,121,000","1,518,000",0
BT2,BottomLayer,"3,405,000","1,678,000",180
J8,BottomLayer,"5,283,465","1,354,331",90
J6,BottomLayer,"3,846,457","1,314,961",180
J4,BottomLayer,"2,153,543","685,039",0
J2,BottomLayer,"1,346,457","1,354,331",90
